exp_tensile_strain,exp_tensile_stress,cal_tensile_strain,cal_tensile_stress,val_tensile_strain,val_tensile_stress
0.12694,616.38,0.09461538461538466,553.8671304544561,,
0.128,618.41,0.09538461538461543,555.4836571407385,,
0.12912,620.13,0.0961538461538462,557.0994952437592,,
0.13019,621.8,0.09692307692307697,558.7146450509356,,
0.13126,624.27,0.09769230769230774,560.3291068495664,,
0.1323,626.15,0.09846153846153852,561.9428809268384,,
0.13335,628.21,0.09923076923076929,563.5559675698227,,
0.13438,630.36,0.10000000000000006,565.1683670654742,,
0.13545,631.83,0.10076923076923083,566.7800797006333,,
0.13652,634.21,0.1015384615384616,568.3911057620279,,
0.13723,641.43,0.10230769230769238,570.0014455362686,,
0.1384,642.26,0.10307692307692314,571.6110993098515,,
0.13959,642.13,0.1038461538461539,573.2200673691603,,
0.14076,642.89,0.10461538461538465,574.8283500004637,,
0.14187,644.72,0.10538461538461541,576.4359474899121,,
0.14299,646.15,0.10615384615384617,578.0428601235454,,
0.14409,648.23,0.10692307692307693,579.649088187289,,
0.14514,649.96,0.10769230769230768,581.2546319669505,,
0.14622,651.54,0.10846153846153844,582.8594917482242,,
0.14733,653.33,0.1092307692307692,584.4636678166953,,
0.1484,656.06,0.10999999999999996,586.0671604578268,,
0.14951,657.76,0.11076923076923072,587.6699699569737,,
0.15059,660.06,0.11153846153846148,589.2720965993708,,
0.1517,661.69,0.11230769230769223,590.8735406701462,,
0.15277,663.61,0.11307692307692299,592.4743024543067,,
0.15383,665.68,0.11384615384615375,594.0743822367493,,
0.1549,666.51,0.11461538461538451,595.6737803022555,,
0.15568,675.77,0.11538461538461527,597.2724969354935,,
0.15675,675.5,0.11615384615384602,598.8705324210168,,
0.15784,675.41,0.11692307692307678,600.467887043265,,
0.15889,676.51,0.11769230769230754,602.0645610865639,,
0.15991,678.09,0.1184615384615383,603.6605548351256,,
0.16095,679.72,0.11923076923076906,605.2558685730478,,
0.16196,681.28,0.11999999999999982,606.8505025843164,,
0.163,682.88,0.12076923076923057,608.444457152801,,
0.16412,684.64,0.12153846153846133,610.0377325622605,,
0.16523,687.3,0.12230769230769209,611.6303290963355,,
0.16635,689.06,0.12307692307692285,613.2222470385589,,
0.16741,691.4,0.1238461538461536,614.8134866723437,,
0.16849,693.4,0.12461538461538436,616.4040482809955,,
0.16958,695.05,0.12538461538461512,617.9939321477024,,
0.17063,696.67,0.1261538461538459,619.5831385555407,,
0.17166,699.34,0.12692307692307667,621.1716677874755,,
0.17274,701.23,0.12769230769230744,622.7595201263476,,
0.17381,703.3,0.1284615384615382,624.3466958549008,,
0.17485,705.23,0.12923076923076898,625.933195255756,,
0.17593,706.9,0.12999999999999975,627.5190186114219,,
0.177,708.86,0.13076923076923053,629.1041662042949,,
0.178,711.4,0.1315384615384613,630.6886383166567,,
0.17905,713.11,0.13230769230769207,632.2724352306775,,
0.18003,715.24,0.13307692307692284,633.8555572284174,,
0.18105,716.92,0.13384615384615361,635.4380045918177,,
0.18209,718.75,0.1346153846153844,637.0197776027074,,
0.18286,727.82,0.13538461538461516,638.6008765428068,,
0.18389,728.05,0.13615384615384593,640.1813016937183,,
0.18492,728.03,0.1369230769230767,641.7610533369378,,
0.18595,728.1,0.13769230769230748,643.340131753843,,
0.18698,729.07,0.13846153846153825,644.9185372257006,,
0.18803,730.63,0.13923076923076902,646.4962700336644,,
0.18906,732.4,0.1399999999999998,648.0733304587736,,
0.19012,734.41,0.14076923076923056,649.6497187819605,,
0.19117,736.3,0.14153846153846134,651.2254352840407,,
0.19224,737.75,0.1423076923076921,652.8004802457117,,
0.19332,739.77,0.14307692307692288,654.3748539475725,,
0.19436,742.0,0.14384615384615365,655.9485566700951,,
0.19544,743.81,0.14461538461538442,657.5215886936483,,
0.19643,746.07,0.1453846153846152,659.0939502984852,,
0.19746,747.86,0.14615384615384597,660.6656417647475,,
0.19849,749.49,0.14692307692307674,662.2366633724603,,
0.19954,751.41,0.1476923076923075,663.8070154015464,,
0.20059,754.19,0.14846153846153828,665.3766981318064,,
0.20164,755.83,0.14923076923076906,666.9457118429284,,
0.20266,757.94,0.14999999999999983,668.5140568145009,,
0.20366,759.48,0.1507692307692306,670.0817333259881,,
0.20467,761.33,0.15153846153846137,671.6487416567395,,
0.20568,763.74,0.15230769230769214,673.2150820860094,,
0.20667,765.64,0.15307692307692292,674.7807548929228,,
0.20765,767.82,0.1538461538461537,676.3457603565001,,
0.20849,768.21,0.15461538461538446,677.9100987556511,,
0.20926,778.16,0.15538461538461523,679.4737703691707,,
0.21028,778.57,0.156153846153846,681.0367754757419,,
0.21132,778.25,0.15692307692307678,682.5991143539396,,
0.21231,778.94,0.15769230769230755,684.1607872822221,,
0.21337,779.69,0.15846153846153832,685.7217945389401,,
0.21443,780.67,0.1592307692307691,687.2821364023315,,
0.21548,782.79,0.15999999999999986,688.8418131505164,,
0.21658,784.81,0.16076923076923064,690.4008250615143,,
0.21759,786.52,0.1615384615384614,691.9591724132277,,
0.2186,788.4,0.16230769230769218,693.5168554834463,,
0.21963,789.97,0.16307692307692295,695.073874549848,,
0.22062,791.39,0.16384615384615372,696.630229890002,,
0.22163,794.23,0.1646153846153845,698.1859217813671,,
0.22263,795.98,0.16538461538461527,699.7409505012843,,
0.22363,797.81,0.16615384615384604,701.2953163269929,,
0.22461,799.47,0.1669230769230768,702.8490195356119,,
0.22563,801.41,0.16769230769230759,704.4020604041522,,
